id,device_id,task,model_name,phase,dataset,batch_size,precision,num_epochs,num_iterations,config_hash,config_snapshot,measurement_scope,warmup_done,status,error_message,started_at,finished_at,duration_s,throughput_samples_per_s,avg_temperature_c,created_at,repetition_group_id,repetition_index
0040d173-b838-49cf-9300-a9fc7cf08ef1,4d0946c6-2bf7-4cab-8faf-5c88baed252c,nlp_sentiment,distilbert-base-uncased,train,imdb,16,fp32,1,,71a2a962881248becf21bcc2bad5becf176cc6b535d915535fcca7140f50331f,"{""llm"":{""engine"":""onnxruntime"",""hf_model_name"":""sshleifer/tiny-gpt2"",""max_new_tokens"":32,""gguf_model_path"":null},""seed"":42,""task"":""nlp_sentiment"",""model"":""distilbert-base-uncased"",""phase"":""train"",""train"":{""optimizer"":""adamw"",""num_epochs"":1,""learning_rate"":0.00005},""device"":""rocm"",""output"":{""save_to_supabase"":true,""local_buffer_path"":""./.local_buffer/""},""warmup"":{""enabled"":true,""iterations"":3},""dataset"":""imdb"",""inference"":{""num_iterations"":20},""precision"":""fp32"",""batch_size"":16,""power_meter"":{""smart_plug"":{""backend"":""tuya"",""enabled"":true},""cpu_sources"":[""zenpower"",""rapl"",""codecarbon""],""gpu_sources"":[""rocm_smi""],""npu_sources"":[""npu_native""],""amd_igpu_sources"":[""amdgpu_igpu_native"",""amd_igpu_whole_system""],""intel_gpu_sources"":[""intel_gpu_native""],""sampling_interval_ms"":100},""experiment_name"":""nlp_distilbert_imdb_gpu_amd_v1"",""repetition_index"":1,""repetition_group_id"":""890ffbfe-529e-465c-880b-b10e77285b20"",""temperature_logging"":{""enabled"":true}}",device_only,true,completed,,2026-09-02 18:53:49.436386+00,2026-09-02 18:55:14.67697+00,85.24057553000011,23.463004415028934,59.0,2026-09-02 18:55:15.284677+00,890ffbfe-529e-465c-880b-b10e77285b20,1
0042df64-c4f8-44be-9641-13d6bac5f71c,9d25e756-1d19-4ac5-b235-29fc900e0f15,image_classification,resnet50,inference,cifar10,4,int8,,417,e1e743ac9fe5e7be4abddb9c90547f440884827f0cfbfc407c47fe37cbc7f725,"{""llm"":{""engine"":""onnxruntime"",""hf_model_name"":""sshleifer/tiny-gpt2"",""max_new_tokens"":32,""gguf_model_path"":null},""seed"":42,""task"":""image_classification"",""model"":""resnet50"",""phase"":""inference"",""train"":{""optimizer"":""adam"",""num_epochs"":2,""learning_rate"":0.001},""device"":""cpu"",""output"":{""save_to_supabase"":true,""local_buffer_path"":""./.local_buffer/""},""warmup"":{""enabled"":true,""iterations"":5},""dataset"":""cifar10"",""inference"":{""num_iterations"":417},""precision"":""int8"",""batch_size"":4,""power_meter"":{""smart_plug"":{""backend"":""tuya"",""enabled"":false},""cpu_sources"":[""zenpower"",""rapl"",""codecarbon""],""gpu_sources"":[""nvml""],""npu_sources"":[""npu_native""],""amd_igpu_sources"":[""amdgpu_igpu_native"",""amd_igpu_whole_system""],""intel_gpu_sources"":[""intel_gpu_native""],""sampling_interval_ms"":100},""experiment_name"":""image_classification_resnet50_cifar10_cpu_v1"",""repetition_index"":1,""repetition_group_id"":""ac3cbb46-da60-4f0c-826d-fd3be015a514"",""temperature_logging"":{""enabled"":true}}",device_only,true,completed,,2026-09-01 14:18:26.780163+00,2026-09-01 14:18:39.214373+00,12.43390519500008,96.51030639050906,,2026-09-01 14:18:39.501031+00,ac3cbb46-da60-4f0c-826d-fd3be015a514,1
005867cb-16ab-4a00-a127-a9c20e38d64f,6963c491-4ef8-46a0-92f5-98b9b2b886e9,image_classification,mobilenet_v3,inference,cifar10,4,fp32,,1736,c9ae57c33b938b26ee49d185def961edc5e83da4e0040429842607714c06e58e,"{""llm"":{""engine"":""onnxruntime"",""hf_model_name"":""sshleifer/tiny-gpt2"",""max_new_tokens"":32,""gguf_model_path"":null},""seed"":42,""task"":""image_classification"",""model"":""mobilenet_v3"",""phase"":""inference"",""train"":{""optimizer"":""adam"",""num_epochs"":5,""learning_rate"":0.001},""device"":""cuda"",""output"":{""save_to_supabase"":true,""local_buffer_path"":""./.local_buffer/""},""warmup"":{""enabled"":true,""iterations"":5},""dataset"":""cifar10"",""inference"":{""num_iterations"":1736},""precision"":""fp32"",""batch_size"":4,""power_meter"":{""smart_plug"":{""backend"":""tuya"",""enabled"":false},""cpu_sources"":[""rapl"",""codecarbon""],""gpu_sources"":[""nvml""],""npu_sources"":[""npu_native""],""intel_gpu_sources"":[""intel_gpu_native""],""sampling_interval_ms"":100},""experiment_name"":""image_classification_mobilenet_cifar10_gpu_nvidia_v1"",""repetition_index"":1,""repetition_group_id"":""2d6a838e-8074-4dd2-8323-e2a97795cbfa"",""temperature_logging"":{""enabled"":true}}",device_only,true,completed,,2026-08-29 06:32:06.04717+00,2026-08-29 06:32:07.891465+00,1.8434284610011673,1293.2424829251295,45.0,2026-08-29 06:32:08.060438+00,2d6a838e-8074-4dd2-8323-e2a97795cbfa,1
006b295b-cff8-4a75-9398-dcf96f161498,d504bfe6-a358-43f6-8c01-6c324781ad02,nlp_sentiment,distilbert-base-uncased,train,imdb,8,fp32,1,,c3984a76088560ab8cf41eceabd631677ad068a3b00e71d11f8d62f491f3586a,"{""llm"":{""engine"":""onnxruntime"",""hf_model_name"":""sshleifer/tiny-gpt2"",""max_new_tokens"":32,""gguf_model_path"":null},""seed"":43,""task"":""nlp_sentiment"",""model"":""distilbert-base-uncased"",""phase"":""train"",""train"":{""optimizer"":""adamw"",""num_epochs"":1,""learning_rate"":0.00005},""device"":""cpu"",""output"":{""save_to_supabase"":true,""local_buffer_path"":""./.local_buffer/""},""warmup"":{""enabled"":true,""iterations"":3},""dataset"":""imdb"",""inference"":{""num_iterations"":20},""precision"":""fp32"",""batch_size"":8,""power_meter"":{""smart_plug"":{""backend"":""tuya"",""enabled"":false},""cpu_sources"":[""zenpower"",""rapl"",""codecarbon""],""gpu_sources"":[""nvml""],""npu_sources"":[""npu_native""],""amd_igpu_sources"":[""amdgpu_igpu_native"",""amd_igpu_whole_system""],""intel_gpu_sources"":[""intel_gpu_native""],""sampling_interval_ms"":100},""experiment_name"":""nlp_distilbert_imdb_cpu_v1"",""repetition_index"":2,""repetition_group_id"":""70f27811-fe55-4c5c-bace-410685ceec63"",""temperature_logging"":{""enabled"":true}}",device_only,true,completed,,2026-09-02 13:12:45.067628+00,2026-09-02 13:21:42.205095+00,537.1374426759994,3.7234417880758266,,2026-09-02 13:21:43.457461+00,70f27811-fe55-4c5c-bace-410685ceec63,2
009502d0-39cd-48a2-8cc6-72111514c613,9d25e756-1d19-4ac5-b235-29fc900e0f15,image_classification,resnet50,inference,cifar10,4,fp16,,442,2178789f2301f352058587125b900fec561b7c6305210e0e57a7036b959af4c2,"{""llm"":{""engine"":""onnxruntime"",""hf_model_name"":""sshleifer/tiny-gpt2"",""max_new_tokens"":32,""gguf_model_path"":null},""seed"":43,""task"":""image_classification"",""model"":""resnet50"",""phase"":""inference"",""train"":{""optimizer"":""adam"",""num_epochs"":2,""learning_rate"":0.001},""device"":""cpu"",""output"":{""save_to_supabase"":true,""local_buffer_path"":""./.local_buffer/""},""warmup"":{""enabled"":true,""iterations"":5},""dataset"":""cifar10"",""inference"":{""num_iterations"":442},""precision"":""fp16"",""batch_size"":4,""power_meter"":{""smart_plug"":{""backend"":""tuya"",""enabled"":false},""cpu_sources"":[""zenpower"",""rapl"",""codecarbon""],""gpu_sources"":[""nvml""],""npu_sources"":[""npu_native""],""amd_igpu_sources"":[""amdgpu_igpu_native"",""amd_igpu_whole_system""],""intel_gpu_sources"":[""intel_gpu_native""],""sampling_interval_ms"":100},""experiment_name"":""image_classification_resnet50_cifar10_cpu_v1"",""repetition_index"":2,""repetition_group_id"":""be90a672-06dc-4b26-931e-e6738504e65c"",""temperature_logging"":{""enabled"":true}}",device_only,true,completed,,2026-09-01 14:02:23.681368+00,2026-09-01 14:02:36.477478+00,12.795918163000351,93.77990580385419,,2026-09-01 14:02:36.737273+00,be90a672-06dc-4b26-931e-e6738504e65c,2
00962718-8a45-4bbd-87c7-e13923643a18,b09133c7-cd71-4325-93b2-ce2fb0b9d2c7,image_classification,mobilenet_v3,inference,cifar10,64,fp32,,25062,e7effc568b185340525400374cdf767357d3d439540fca95c2e47694e7913f81,"{""llm"":{""engine"":""onnxruntime"",""hf_model_name"":""sshleifer/tiny-gpt2"",""max_new_tokens"":32,""gguf_model_path"":null},""seed"":42,""task"":""image_classification"",""model"":""mobilenet_v3"",""phase"":""inference"",""train"":{""optimizer"":""adam"",""num_epochs"":5,""learning_rate"":0.001},""device"":""cpu"",""output"":{""save_to_supabase"":true,""local_buffer_path"":""./.local_buffer/""},""warmup"":{""enabled"":true,""iterations"":5},""dataset"":""cifar10"",""inference"":{""num_iterations"":25062},""precision"":""fp32"",""batch_size"":64,""power_meter"":{""smart_plug"":{""backend"":""tuya"",""enabled"":false},""cpu_sources"":[""rapl"",""codecarbon""],""gpu_sources"":[""nvml""],""npu_sources"":[""npu_native""],""intel_gpu_sources"":[""intel_gpu_native""],""sampling_interval_ms"":100},""experiment_name"":""image_classification_mobilenet_cifar10_cpu_v1"",""repetition_index"":1,""repetition_group_id"":""7e4a9f9e-2b6f-4ff7-933b-4ffd20f25159"",""temperature_logging"":{""enabled"":true}}",device_only,true,completed,,2026-08-29 06:18:14.958332+00,2026-08-29 06:18:16.724507+00,1.7655455489948508,1699.1915058254606,,2026-08-29 06:18:16.879925+00,7e4a9f9e-2b6f-4ff7-933b-4ffd20f25159,1
009edb42-890d-4cb7-aab9-06241f8e14d3,4d0946c6-2bf7-4cab-8faf-5c88baed252c,image_classification,mobilenet_v3,train,cifar10,32,fp32,5,,a32d6ad24a032a11dfe7185b4967073eba296f6613c98cfce777160da0602382,"{""llm"":{""engine"":""onnxruntime"",""hf_model_name"":""sshleifer/tiny-gpt2"",""max_new_tokens"":32,""gguf_model_path"":null},""seed"":42,""task"":""image_classification"",""model"":""mobilenet_v3"",""phase"":""train"",""train"":{""optimizer"":""adam"",""num_epochs"":5,""learning_rate"":0.001},""device"":""rocm"",""output"":{""save_to_supabase"":true,""local_buffer_path"":""./.local_buffer/""},""warmup"":{""enabled"":true,""iterations"":5},""dataset"":""cifar10"",""inference"":{""num_iterations"":50},""precision"":""fp32"",""batch_size"":32,""power_meter"":{""smart_plug"":{""backend"":""tuya"",""enabled"":true},""cpu_sources"":[""zenpower"",""rapl"",""codecarbon""],""gpu_sources"":[""rocm_smi""],""npu_sources"":[""npu_native""],""amd_igpu_sources"":[""amdgpu_igpu_native"",""amd_igpu_whole_system""],""intel_gpu_sources"":[""intel_gpu_native""],""sampling_interval_ms"":100},""experiment_name"":""image_classification_mobilenet_cifar10_gpu_amd_v1"",""repetition_index"":1,""repetition_group_id"":""e41a3f74-bb5e-464a-b2ae-1d8cffee35f6"",""temperature_logging"":{""enabled"":true}}",device_only,true,completed,,2026-09-02 18:21:03.85858+00,2026-09-02 18:21:21.83128+00,17.972684660999903,278.19995144352725,40.0,2026-09-02 18:21:22.218782+00,e41a3f74-bb5e-464a-b2ae-1d8cffee35f6,1
00aa7118-097c-4335-b685-791fac47472b,b549c125-f311-4d9b-84de-49fb420e4758,image_classification,mobilenet_v3,inference,cifar10,4,fp32,,963,aec473aa2eaed7bd57b9c49c9bce2339d04a63c45a7bbae7ddeab70ee277d525,"{""llm"":{""engine"":""onnxruntime"",""hf_model_name"":""sshleifer/tiny-gpt2"",""max_new_tokens"":32,""gguf_model_path"":null},""seed"":43,""task"":""image_classification"",""model"":""mobilenet_v3"",""phase"":""inference"",""train"":{""optimizer"":""adam"",""num_epochs"":1,""learning_rate"":0.001},""device"":""intel_gpu_openvino"",""output"":{""save_to_supabase"":true,""local_buffer_path"":""./.local_buffer/""},""warmup"":{""enabled"":true,""iterations"":5},""dataset"":""cifar10"",""inference"":{""num_iterations"":963},""precision"":""fp32"",""batch_size"":4,""power_meter"":{""smart_plug"":{""backend"":""tuya"",""enabled"":false},""cpu_sources"":[""rapl"",""codecarbon""],""gpu_sources"":[""nvml""],""npu_sources"":[""npu_native""],""intel_gpu_sources"":[""intel_gpu_native""],""sampling_interval_ms"":100},""experiment_name"":""image_classification_mobilenet_cifar10_gpu_intel_v1"",""repetition_index"":2,""repetition_group_id"":""5842eba7-dbe7-400f-934a-7ed2f602c70d"",""temperature_logging"":{""enabled"":true}}",whole_system,true,completed,,2026-08-27 18:47:45.789534+00,2026-08-27 18:47:48.796257+00,3.0064589169996907,1486.133728532323,,2026-08-27 18:47:49.017581+00,5842eba7-dbe7-400f-934a-7ed2f602c70d,2
00bdda7e-cf38-4a5b-9489-c3cb04b8d97b,b6188ef9-c186-46f5-91b6-8d52e3d26044,nlp_sentiment,distilbert-base-uncased,inference,imdb,16,fp16,,20,69b43eb21b4bd2b83849095d5f5700b1b9b08506db6ed430a332aae27d41975e,"{""llm"":{""engine"":""onnxruntime"",""hf_model_name"":""sshleifer/tiny-gpt2"",""max_new_tokens"":32,""gguf_model_path"":null},""seed"":44,""task"":""nlp_sentiment"",""model"":""distilbert-base-uncased"",""phase"":""inference"",""train"":{""optimizer"":""adamw"",""num_epochs"":1,""learning_rate"":0.00005},""device"":""amd_igpu"",""output"":{""save_to_supabase"":true,""local_buffer_path"":""./.local_buffer/""},""warmup"":{""enabled"":true,""iterations"":3},""dataset"":""imdb"",""inference"":{""num_iterations"":20},""precision"":""fp16"",""batch_size"":16,""power_meter"":{""smart_plug"":{""backend"":""tuya"",""enabled"":false},""cpu_sources"":[""zenpower"",""rapl"",""codecarbon""],""gpu_sources"":[""nvml""],""npu_sources"":[""npu_native""],""amd_igpu_sources"":[""amdgpu_igpu_native"",""amd_igpu_whole_system""],""intel_gpu_sources"":[""intel_gpu_native""],""sampling_interval_ms"":100},""experiment_name"":""nlp_distilbert_imdb_gpu_amd_igpu_v1"",""repetition_index"":3,""repetition_group_id"":""b2e369aa-cd6b-4e85-be95-74d321829a97"",""temperature_logging"":{""enabled"":true}}",whole_system,true,completed,,2026-09-03 15:29:45.04845+00,2026-09-03 15:29:48.847756+00,3.7992941459999656,84.22617141578985,,2026-09-03 15:29:50.175752+00,b2e369aa-cd6b-4e85-be95-74d321829a97,3
00fd71d7-c5ee-43b5-a2fc-36ef2744629d,7cb1ff96-e79f-4122-88aa-ee7b680103b1,image_classification,resnet50,inference,cifar10,4,fp32,,50,e9b721dc66121a330a7aef594c1aa329b18ff6da08ef9971ae86e5b32aaaefd4,"{""llm"":{""engine"":""onnxruntime"",""hf_model_name"":""sshleifer/tiny-gpt2"",""max_new_tokens"":32,""gguf_model_path"":null},""seed"":42,""task"":""image_classification"",""model"":""resnet50"",""phase"":""inference"",""train"":{""optimizer"":""adam"",""num_epochs"":2,""learning_rate"":0.001},""device"":""amd_igpu"",""output"":{""save_to_supabase"":true,""local_buffer_path"":""./.local_buffer/""},""warmup"":{""enabled"":true,""iterations"":5},""dataset"":""cifar10"",""inference"":{""num_iterations"":50},""precision"":""fp32"",""batch_size"":4,""power_meter"":{""smart_plug"":{""backend"":""tuya"",""enabled"":false},""cpu_sources"":[""zenpower"",""rapl"",""codecarbon""],""gpu_sources"":[""nvml""],""npu_sources"":[""npu_native""],""amd_igpu_sources"":[""amdgpu_igpu_native"",""amd_igpu_whole_system""],""intel_gpu_sources"":[""intel_gpu_native""],""sampling_interval_ms"":100},""experiment_name"":""image_classification_resnet50_cifar10_gpu_amd_igpu_v1"",""repetition_index"":1,""repetition_group_id"":""d25e9865-9fd5-4ec2-a60c-31702cb5e634"",""temperature_logging"":{""enabled"":true}}",whole_system,true,completed,,2026-09-01 12:58:58.795626+00,2026-09-01 12:59:01.516307+00,2.7206552590000683,73.51170249828223,,2026-09-01 12:59:01.718547+00,d25e9865-9fd5-4ec2-a60c-31702cb5e634,1
